size, naive, better, blas
100, 0.006716, 0.005090, 0.000224
100, 0.004967, 0.004900, 0.000089
100, 0.004888, 0.004172, 0.000144
100, 0.005749, 0.004244, 0.000083
100, 0.004304, 0.006153, 0.000077
100, 0.006290, 0.004983, 0.000075
100, 0.006664, 0.004636, 0.000243
100, 0.008848, 0.007225, 0.000106
100, 0.005424, 0.005036, 0.000080
100, 0.004548, 0.004239, 0.000108
200, 0.057348, 0.032232, 0.001432
200, 0.055909, 0.030826, 0.001016
200, 0.052082, 0.029599, 0.000925
200, 0.050367, 0.029049, 0.000910
200, 0.050209, 0.028907, 0.000886
200, 0.050744, 0.029295, 0.000972
200, 0.050174, 0.029542, 0.001070
200, 0.050058, 0.028912, 0.000902
200, 0.050575, 0.028890, 0.000914
200, 0.050401, 0.029189, 0.000890
300, 0.134753, 0.105768, 0.003144
300, 0.135192, 0.098342, 0.002635
300, 0.132372, 0.102723, 0.002994
300, 0.132796, 0.097583, 0.003061
300, 0.135987, 0.096919, 0.002428
300, 0.131500, 0.097795, 0.003134
300, 0.137580, 0.102002, 0.003831
300, 0.134044, 0.097707, 0.003014
300, 0.136322, 0.097859, 0.003016
300, 0.132360, 0.097674, 0.003024
400, 0.340892, 0.229967, 0.006116
400, 0.325748, 0.229719, 0.005647
400, 0.329673, 0.229064, 0.007541
400, 0.333061, 0.229390, 0.006491
400, 0.328950, 0.228783, 0.006359
400, 0.332900, 0.228937, 0.005630
400, 0.330371, 0.229604, 0.005687
400, 0.316099, 0.231512, 0.005613
400, 0.328713, 0.229869, 0.007475
400, 0.331523, 0.228181, 0.006232
500, 0.796488, 0.453577, 0.011124
500, 0.789888, 0.448486, 0.011930
500, 1.057660, 0.453035, 0.010456
500, 0.803456, 0.451921, 0.010099
500, 0.852149, 0.453957, 0.010420
500, 0.809225, 0.450485, 0.012883
500, 0.798175, 0.453873, 0.010327
500, 0.819375, 0.451072, 0.010552
500, 0.814236, 0.457159, 0.013920
500, 0.815953, 0.452188, 0.010475
600, 1.458286, 0.782300, 0.023573
600, 1.447182, 0.785003, 0.017443
600, 1.457646, 0.805221, 0.017024
600, 1.508877, 0.804682, 0.016583
600, 1.502745, 0.812685, 0.017459
600, 1.545335, 0.785514, 0.022680
600, 1.454836, 0.786646, 0.017254
600, 1.388278, 0.786153, 0.022109
600, 1.447859, 0.787465, 0.017773
600, 1.393178, 0.784054, 0.023263
700, 2.625653, 1.268488, 0.027674
700, 2.545043, 1.272876, 0.032881
700, 2.680008, 1.273602, 0.036420
700, 2.628643, 1.262554, 0.027357
700, 2.635197, 1.280047, 0.026460
700, 2.599511, 1.262220, 0.033580
700, 2.601452, 1.310360, 0.036447
700, 2.761463, 1.313484, 0.036371
700, 2.645469, 1.274781, 0.032084
700, 2.678001, 1.268942, 0.036449
800, 4.642497, 1.913415, 0.051639
800, 4.557525, 1.900672, 0.052850
800, 4.644300, 2.023783, 0.053974
800, 4.975230, 1.903721, 0.053117
800, 3.840342, 1.895864, 0.050475
800, 3.835097, 1.887977, 0.049708
800, 3.910877, 1.903518, 0.050521
800, 3.867545, 1.901187, 0.050484
800, 3.822667, 1.885827, 0.049988
800, 3.817713, 1.870032, 0.049185
900, 5.913110, 2.706172, 0.068355
900, 5.497334, 2.641202, 0.070638
900, 5.532064, 2.669016, 0.070509
900, 5.510234, 2.657409, 0.070641
900, 5.604930, 2.678420, 0.070364
900, 5.824121, 2.655897, 0.069920
900, 5.519330, 2.693516, 0.069639
900, 5.580257, 2.643504, 0.070579
900, 5.491040, 2.636215, 0.070926
900, 5.637561, 2.684877, 0.070517
1000, 10.385572, 3.627848, 0.103664
1000, 32.811648, 3.773261, 0.102054
1000, 22.222785, 3.699117, 0.097793
1000, 23.045351, 4.282903, 0.097501
1000, 21.899300, 3.727123, 0.086948
1000, 22.603358, 3.854906, 0.094677
1000, 20.403661, 3.859994, 0.088813
1000, 20.882536, 3.909901, 0.086346
1000, 20.425450, 3.931487, 0.091890
1000, 20.109828, 3.828366, 0.090417
